time,power,torque,base_buoy_torque,pulse_torque,total_chain_torque,tau_net,tau_to_generator,clutch_c,clutch_state,total_energy,pulse_count,flywheel_speed_rpm,chain_speed_rpm,clutch_engaged,tank_pressure,overall_efficiency,avg_floater_velocity
0.0,0.0,0.0,,,,0.0,0.0,0.0,DISENGAGED,0.0,0,0.0,0.0,False,3.5,0.0,0.0
0.0,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,144.42694714638236,True,1.0000000000000002,0.0,5.670596138586957
0.1,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,288.85100576826443,True,1.5000000000000002,0.0,7.2266959399901065
0.2,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,433.2721759234165,True,2.0,0.0,8.75
0.30000000000000004,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,577.6904576696076,True,2.5,0.0,8.75
0.4,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,722.1058510646056,True,3.0,0.0,8.75
0.5,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,866.5183561661771,True,3.5,0.0,8.75
0.6,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,1010.9279730320881,True,4.0,0.0,8.75
0.7,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,1155.3347017201027,True,4.5,0.0,8.75
0.7999999999999999,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,1299.738542287984,True,5.0,0.0,8.75
0.8999999999999999,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,1444.1394947934946,True,5.0,0.0,8.75
0.9999999999999999,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,1588.5375592943947,True,5.0,0.0,3.75
1.0999999999999999,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,1732.932735848445,True,5.0,0.0,0.0
1.2,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,1877.3250245134036,True,5.0,0.0,0.0
1.3,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,2021.7144253470283,True,5.0,0.0,0.0
1.4000000000000001,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,2166.1009384070753,True,5.0,0.0,0.0
1.5000000000000002,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,2310.4845637512994,True,5.0,0.0,0.0
1.6000000000000003,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,2454.8653014374554,True,5.0,0.0,0.0
1.7000000000000004,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,2599.2431515232956,True,5.0,0.0,0.0
1.8000000000000005,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,2743.618114066572,True,5.0,0.0,0.0
1.9000000000000006,0.0,169.61203662013085,,,,169.61203662013085,169.61203662013085,1.0,engaged,0.0,2,0.0,2887.990189125035,True,5.0,0.0,0.0
2.0000000000000004,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,3078.9761208353093,True,4.0,0.0,0.22353204619565217
2.1000000000000005,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,3269.962052545584,True,4.5,0.0,0.7422319799967022
2.2000000000000006,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,3460.9479842558585,True,5.0,0.0,1.25
2.3000000000000007,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,3651.9339159661326,True,5.0,0.0,1.25
2.400000000000001,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,3842.9198476764072,True,5.0,0.0,1.25
2.500000000000001,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,4033.9057793866814,True,5.0,0.0,1.25
2.600000000000001,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,4224.891711096956,True,5.0,0.0,1.25
2.700000000000001,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,4415.877642807231,True,5.0,0.0,1.25
2.800000000000001,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,4606.863574517505,True,5.0,0.0,1.25
2.9000000000000012,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,4797.849506227779,True,5.0,0.0,1.25
3.0000000000000013,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,4988.835437938054,True,5.0,0.0,1.25
3.1000000000000014,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,5179.821369648329,True,5.0,0.0,0.0
3.2000000000000015,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,5370.807301358603,True,5.0,0.0,0.0
3.3000000000000016,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,5561.793233068877,True,5.0,0.0,0.0
3.4000000000000017,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,5752.779164779152,True,5.0,0.0,0.0
3.5000000000000018,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,5943.7650964894265,True,5.0,0.0,0.0
3.600000000000002,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,6134.751028199701,True,5.0,0.0,0.0
3.700000000000002,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,6325.736959909975,True,5.0,0.0,0.0
3.800000000000002,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,6516.722891620249,True,5.0,0.0,0.0
3.900000000000002,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,6707.708823330524,True,5.0,0.0,0.0
4.000000000000002,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,6898.694755040799,True,5.0,0.0,0.0
4.100000000000001,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,7089.680686751073,True,5.0,0.0,0.0
4.200000000000001,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,7280.666618461347,True,5.0,0.0,0.0
4.300000000000001,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,7471.652550171621,True,5.0,0.0,0.0
4.4,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,7662.638481881896,True,5.0,0.0,0.0
4.5,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,7853.624413592171,True,5.0,0.0,0.0
4.6,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,8044.610345302444,True,5.0,0.0,0.0
4.699999999999999,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,8235.596277012719,True,5.0,0.0,0.0
4.799999999999999,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,8426.582208722994,True,5.0,0.0,0.0
4.899999999999999,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,8617.568140433268,True,5.0,0.0,0.0
4.999999999999998,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,8808.554072143543,True,5.0,0.0,0.0
5.099999999999998,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,8999.540003853817,True,5.0,0.0,0.0
5.1999999999999975,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,9190.525935564092,True,5.0,0.0,0.0
5.299999999999997,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,9381.511867274367,True,5.0,0.0,0.0
5.399999999999997,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,9572.49779898464,True,5.0,0.0,0.0
5.4999999999999964,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,9763.483730694914,True,5.0,0.0,0.0
5.599999999999996,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,9954.469662405189,True,5.0,0.0,0.0
5.699999999999996,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,10145.455594115463,True,5.0,0.0,0.0
5.799999999999995,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,10336.441525825738,True,5.0,0.0,0.0
5.899999999999995,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,10527.427457536012,True,5.0,0.0,0.0
